"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","input_string"
"P9","solo",2,"e","grab",40.0019,638249392230524208,638249392230924227,"Regular Blue CubeClone11 was picked up"
"P9","solo",2,"e","grab",585.0038,638249392249931858,638249392255781896,"Regular Neutral CubeClone18 was picked up"
"P9","solo",2,"e","grab",1485.0064,638249392249821851,638249392264671915,"Regular Blue CubeClone16 was picked up"
"P9","solo",2,"e","grab",239.0017,638249392287961985,638249392290352002,"Regular Blue CubeClone19 was picked up"
"P9","solo",2,"e","grab",1060.798,638249392342035408,638249392352643388,"Regular Blue CubeClone31 was picked up"
"P9","solo",2,"e","grab",176.9996,638249392389513311,638249392391283307,"Regular Gold CubeClone10 was picked up"
"P9","solo",2,"e","grab",17.9988,638249392416070100,638249392416250088,"Regular Gold CubeClone42 was picked up"
"P9","solo",2,"e","grab",146.1761,638249392448918001,638249392450379762,"Regular Gold CubeClone45 was picked up"
"P9","solo",2,"e","grab",213.0399,638249392471772540,638249392473902939,"Regular Red CubeClone45 was picked up"
"P9","solo",2,"e","grab",209.2151,638249392491271766,638249392493363917,"Regular Red CubeClone50 was picked up"
"P9","solo",2,"e","grab",289.602,638249392560444771,638249392563340791,"Regular Red CubeClone58 was picked up"
"P9","solo",2,"e","grab",186.329,638249392649319673,638249392651182963,"Regular Red CubeClone72 was picked up"
"P9","solo",2,"e","grab",254.2141,638249392694848667,638249392697390808,"Regular Red CubeClone79 was picked up"
"P9","solo",2,"e","grab",301.378,638249392715316457,638249392718330237,"Regular Red CubeClone80 was picked up"
"P9","solo",2,"e","grab",419.5045,638249392734413347,638249392738608392,"Regular Gold CubeClone50 was picked up"
"P9","solo",2,"e","grab",184.0023,638249392760034302,638249392761874325,"Regular Gold CubeClone90 was picked up"
"P9","solo",2,"e","grab",118.9142,638249392781034384,638249392782223526,"Regular Gold CubeClone93 was picked up"
"P9","solo",2,"e","grab",205.0014,638249392801733630,638249392803783644,"Regular Gold CubeClone96 was picked up"
"P9","solo",2,"e","grab",199.5229,638249392821775021,638249392823770250,"Regular Blue CubeClone94 was picked up"
"P9","solo",2,"e","grab",183.985,638249392859257422,638249392861097272,"Regular Blue CubeClone101 was picked up"
"P9","solo",2,"e","grab",177.0258,638249392878987013,638249392880757271,"Regular Blue CubeClone104 was picked up"
"P9","solo",2,"e","grab",417.0366,638249392907093762,638249392911264128,"Regular Blue CubeClone108 was picked up"
"P9","solo",2,"e","grab",224.0073,638249392963054261,638249392965294334,"Regular Neutral CubeClone118 was picked up"
"P9","solo",2,"e","grab",287.5932,638249393007460778,638249393010336710,"Regular Neutral CubeClone124 was picked up"
"P9","solo",2,"e","grab",252.0452,638249393047161194,638249393049681646,"Regular Neutral CubeClone129 was picked up"
"P9","solo",2,"e","grab",65.4807,638249393065921342,638249393066576149,"Regular Neutral CubeClone132 was picked up"
"P9","solo",2,"e","grab",329.4903,638249393097686143,638249393100981046,"Regular Neutral CubeClone137 was picked up"
"P9","solo",2,"e","grab",95.3509,638249393125757983,638249393126711492,"Regular Neutral CubeClone139 was picked up"
"P9","solo",2,"e","grab",97.4981,638249393177644456,638249393178619437,"Regular Blue CubeClone143 was picked up"
"P9","solo",2,"e","grab",361.0547,638249393201734460,638249393205345007,"Regular Blue CubeClone148 was picked up"
"P9","solo",2,"e","grab",85.846,638249393226145001,638249393227003461,"Regular Neutral CubeClone154 was picked up"
"P9","solo",2,"e","grab",444.0015,638249393246813906,638249393251253921,"Regular Neutral CubeClone158 was picked up"
"P9","solo",2,"e","grab",217.0021,638249393275294001,638249393277464022,"Regular Neutral CubeClone159 was picked up"
"P9","solo",2,"e","grab",209.3159,638249393322696638,638249393324789797,"Regular Red CubeClone162 was picked up"
"P9","solo",2,"e","grab",219.3692,638249393348546122,638249393350739814,"Regular Neutral CubeClone170 was picked up"
