"sequenceType","sequenceNum","moveTime","startTime","endTime","Participant","Age","Sex","Condition","Trial","Group"
"Place",692,0.576000300000032,278.6345909,279.2105912,"P9",21,"f","comp",2,"e"
"Place",694,0.731024100000013,280.9445912,281.6756153,"P9",21,"f","comp",2,"e"
"Place",696,0.499000200000012,283.0425916,283.5415918,"P9",21,"f","comp",2,"e"
"Full",546,2.9110009,0.4610006,3.3720015,"P9",21,"f","comp",2,"e"
"Full",548,0.267,4.0490008,4.3160008,"P9",21,"f","comp",2,"e"
"Full",549,1.3580017,6.202,7.5600017,"P9",21,"f","comp",2,"e"
"Full",551,1.4310013,7.9140009,9.3450022,"P9",21,"f","comp",2,"e"
"Full",553,2.1199989,10.2370027,12.3570016,"P9",21,"f","comp",2,"e"
"Full",555,0.0859989999999993,13.8988279,13.9848269,"P9",21,"f","comp",2,"e"
"Full",556,1.3359993,20.9588263,22.2948256,"P9",21,"f","comp",2,"e"
"Full",558,1.7350007,30.2316533,31.966654,"P9",21,"f","comp",2,"e"
"Full",560,4.8531164,33.3016529,38.1547693,"P9",21,"f","comp",2,"e"
"Full",562,1.2160007,39.6487672,40.8647679,"P9",21,"f","comp",2,"e"
"Full",563,1.29196930000001,45.5418841,46.8338534,"P9",21,"f","comp",2,"e"
"Full",565,1.4749973,47.2318535,48.7068508,"P9",21,"f","comp",2,"e"
"Full",567,1.4320019,49.9378514,51.3698533,"P9",21,"f","comp",2,"e"
"Full",569,1.2819994,57.4202971,58.7022965,"P9",21,"f","comp",2,"e"
"Full",571,1.4069987,62.2572988,63.6642975,"P9",21,"f","comp",2,"e"
"Full",572,0.421002099999995,64.8442967,65.2652988,"P9",21,"f","comp",2,"e"
"Full",574,1.08400020000001,65.3572968,66.441297,"P9",21,"f","comp",2,"e"
"Full",575,0.420999699999996,68.120298,68.5412977,"P9",21,"f","comp",2,"e"
"Full",577,1.260999,69.632298,70.893297,"P9",21,"f","comp",2,"e"
"Full",579,1.41201070000001,71.7782989,73.1903096,"P9",21,"f","comp",2,"e"
"Full",581,1.4824935,73.9384462,75.4209397,"P9",21,"f","comp",2,"e"
"Full",583,1.4407238,77.1046249,78.5453487,"P9",21,"f","comp",2,"e"
"Full",585,1.4710001,82.4043504,83.8753505,"P9",21,"f","comp",2,"e"
"Full",587,1.1560001,85.9228942,87.0788943,"P9",21,"f","comp",2,"e"
"Full",589,1.3280003,89.1258953,90.4538956,"P9",21,"f","comp",2,"e"
"Full",591,1.64569370000001,91.6748957,93.3205894,"P9",21,"f","comp",2,"e"
"Full",592,0.546000100000001,95.4925881,96.0385882,"P9",21,"f","comp",2,"e"
"Full",593,0.453886600000004,103.0261159,103.4800025,"P9",21,"f","comp",2,"e"
"Full",595,1.0519991,103.8860004,104.9379995,"P9",21,"f","comp",2,"e"
"Full",597,0.683002400000007,106.5299994,107.2130018,"P9",21,"f","comp",2,"e"
"Full",599,1.44000050000001,114.014,115.4540005,"P9",21,"f","comp",2,"e"
"Full",601,1.85100079999999,116.4320005,118.2830013,"P9",21,"f","comp",2,"e"
"Full",603,0.281000800000001,120.5460002,120.827001,"P9",21,"f","comp",2,"e"
"Full",604,1.62400149999999,121.0319996,122.6560011,"P9",21,"f","comp",2,"e"
"Full",606,1.22753109999999,123.1530024,124.3805335,"P9",21,"f","comp",2,"e"
"Full",608,1.40799990000001,125.5865331,126.994533,"P9",21,"f","comp",2,"e"
"Full",610,1.31000100000001,127.9295317,129.2395327,"P9",21,"f","comp",2,"e"
"Full",612,0.261000999999993,134.7195318,134.9805328,"P9",21,"f","comp",2,"e"
"Full",613,0.435998899999987,135.6515343,136.0875332,"P9",21,"f","comp",2,"e"
"Full",615,0.271965300000005,136.1635675,136.4355328,"P9",21,"f","comp",2,"e"
"Full",616,1.47799840000002,139.887533,141.3655314,"P9",21,"f","comp",2,"e"
"Full",618,1.5519319,142.9191863,144.4711182,"P9",21,"f","comp",2,"e"
"Full",620,1.2105569,147.5535129,148.7640698,"P9",21,"f","comp",2,"e"
"Full",622,1.3850755,150.2078394,151.5929149,"P9",21,"f","comp",2,"e"
"Full",624,1.48600759999999,152.61397,154.0999776,"P9",21,"f","comp",2,"e"
"Full",626,0.495971999999995,155.3739033,155.8698753,"P9",21,"f","comp",2,"e"
"Full",627,1.15000030000002,158.4588747,159.608875,"P9",21,"f","comp",2,"e"
"Full",629,1.36400079999999,159.9048744,161.2688752,"P9",21,"f","comp",2,"e"
"Full",630,0.776001100000002,164.5648746,165.3408757,"P9",21,"f","comp",2,"e"
"Full",632,1.40199749999999,167.1758761,168.5778736,"P9",21,"f","comp",2,"e"
"Full",634,1.08500229999999,169.5648743,170.6498766,"P9",21,"f","comp",2,"e"
"Full",636,0.175000600000004,171.4988746,171.6738752,"P9",21,"f","comp",2,"e"
"Full",637,1.99299909999999,171.8308749,173.823874,"P9",21,"f","comp",2,"e"
"Full",638,1.31900039999999,175.759874,177.0788744,"P9",21,"f","comp",2,"e"
"Full",639,0.470000499999998,178.6358737,179.1058742,"P9",21,"f","comp",2,"e"
"Full",641,1.43100269999999,181.0678736,182.4988763,"P9",21,"f","comp",2,"e"
"Full",643,1.16899960000001,183.3078755,184.4768751,"P9",21,"f","comp",2,"e"
"Full",645,0.330000500000011,189.6228751,189.9528756,"P9",21,"f","comp",2,"e"
"Full",646,1.05800049999999,191.9198749,192.9778754,"P9",21,"f","comp",2,"e"
"Full",648,0.184999900000008,194.1558765,194.3408764,"P9",21,"f","comp",2,"e"
"Full",649,1.54200090000001,197.6568743,199.1988752,"P9",21,"f","comp",2,"e"
"Full",651,1.48499989999999,199.6268751,201.111875,"P9",21,"f","comp",2,"e"
"Full",653,1.73310939999999,201.8923944,203.6255038,"P9",21,"f","comp",2,"e"
"Full",655,1.59801289999999,203.9180712,205.5160841,"P9",21,"f","comp",2,"e"
"Full",657,1.0620006,208.0040832,209.0660838,"P9",21,"f","comp",2,"e"
"Full",659,1.17600049999999,209.7320826,210.9080831,"P9",21,"f","comp",2,"e"
"Full",660,0.604000400000018,213.4920828,214.0960832,"P9",21,"f","comp",2,"e"
"Full",662,2.22940700000001,214.6770834,216.9064904,"P9",21,"f","comp",2,"e"
"Full",664,1.4630009,217.5544889,219.0174898,"P9",21,"f","comp",2,"e"
"Full",666,0.322000099999997,220.67249,220.9944901,"P9",21,"f","comp",2,"e"
"Full",667,1.34200000000001,221.9164898,223.2584898,"P9",21,"f","comp",2,"e"
"Full",669,1.2860001,223.8484899,225.13449,"P9",21,"f","comp",2,"e"
"Full",671,1.58500139999998,225.6174889,227.2024903,"P9",21,"f","comp",2,"e"
"Full",673,1.9250002,227.6584902,229.5834904,"P9",21,"f","comp",2,"e"
"Full",674,0.915001099999984,238.4420272,239.3570283,"P9",21,"f","comp",2,"e"
"Full",676,1.11199920000001,240.0640287,241.1760279,"P9",21,"f","comp",2,"e"
"Full",678,2.88200079999999,241.4330265,244.3150273,"P9",21,"f","comp",2,"e"
"Full",680,1.75299889999999,244.8940281,246.647027,"P9",21,"f","comp",2,"e"
"Full",682,1.31999879999998,247.5420281,248.8620269,"P9",21,"f","comp",2,"e"
"Full",684,0.264001800000017,249.5940259,249.8580277,"P9",21,"f","comp",2,"e"
"Full",685,1.33799980000001,251.7500265,253.0880263,"P9",21,"f","comp",2,"e"
"Full",687,0.0619704999999726,256.0465853,256.1085558,"P9",21,"f","comp",2,"e"
"Full",688,2.15400099999999,267.6245346,269.7785356,"P9",21,"f","comp",2,"e"
"Full",690,3.66758429999999,271.8065462,275.4741305,"P9",21,"f","comp",2,"e"
"Full",692,1.29499920000001,277.915592,279.2105912,"P9",21,"f","comp",2,"e"
"Full",694,1.31399290000002,280.3616224,281.6756153,"P9",21,"f","comp",2,"e"
"Full",696,1.43800090000002,282.1035909,283.5415918,"P9",21,"f","comp",2,"e"
"Old Drop",549,0.291999300000001,7.0370015,7.3290008,"P9",21,"f","comp",2,"e"
"Old Drop",553,0.2370009,11.825,12.0620009,"P9",21,"f","comp",2,"e"
"Old Drop",556,0.272999600000002,21.6888269,21.9618265,"P9",21,"f","comp",2,"e"
"Old Drop",558,0.335000000000001,31.3706541,31.7056541,"P9",21,"f","comp",2,"e"
"Old Drop",560,1.2257079,36.8550601,38.080768,"P9",21,"f","comp",2,"e"
"Old Drop",562,0.174001000000004,40.3527663,40.5267673,"P9",21,"f","comp",2,"e"
"Old Drop",563,0.838968400000006,45.5418841,46.3808525,"P9",21,"f","comp",2,"e"
"Old Drop",565,0.140000199999996,48.0068526,48.1468528,"P9",21,"f","comp",2,"e"
"Old Drop",567,0.371000500000001,50.7818526,51.1528531,"P9",21,"f","comp",2,"e"
"Old Drop",569,0.353999900000005,58.045297,58.3992969,"P9",21,"f","comp",2,"e"
"Old Drop",571,0.346001999999999,63.160297,63.506299,"P9",21,"f","comp",2,"e"
"Old Drop",572,0.163000600000004,64.8442967,65.0072973,"P9",21,"f","comp",2,"e"
"Old Drop",574,0.381002300000006,65.8792957,66.260298,"P9",21,"f","comp",2,"e"
"Old Drop",583,0.414001499999998,77.9593484,78.3733499,"P9",21,"f","comp",2,"e"
"Old Drop",585,0.28300010000001,83.3403494,83.6233495,"P9",21,"f","comp",2,"e"
"Old Drop",587,0.2399992,86.5218963,86.7618955,"P9",21,"f","comp",2,"e"
"Old Drop",589,0.511000600000003,89.7988952,90.3098958,"P9",21,"f","comp",2,"e"
"Old Drop",591,0.365180499999994,92.5194081,92.8845886,"P9",21,"f","comp",2,"e"
"Old Drop",592,0.25500009999999,95.4925881,95.7475882,"P9",21,"f","comp",2,"e"
"Old Drop",593,0.198148900000007,103.0261159,103.2242648,"P9",21,"f","comp",2,"e"
"Old Drop",595,0.37799960000001,104.2660009,104.6440005,"P9",21,"f","comp",2,"e"
"Old Drop",599,0.401000699999997,114.7820002,115.1830009,"P9",21,"f","comp",2,"e"
"Old Drop",601,0.331999199999998,117.8310018,118.163001,"P9",21,"f","comp",2,"e"
"Old Drop",604,0.723001199999999,121.9280001,122.6510013,"P9",21,"f","comp",2,"e"
"Old Drop",610,0.0530003000000079,128.9145326,128.9675329,"P9",21,"f","comp",2,"e"
"Old Drop",613,0.390000299999997,135.6515343,136.0415346,"P9",21,"f","comp",2,"e"
"Old Drop",616,0.406998999999985,140.6975346,141.1045336,"P9",21,"f","comp",2,"e"
"Old Drop",618,0.453999100000004,143.6851192,144.1391183,"P9",21,"f","comp",2,"e"
"Old Drop",620,0.237025000000017,148.3270336,148.5640586,"P9",21,"f","comp",2,"e"
"Old Drop",622,0.0639650999999901,151.1609271,151.2248922,"P9",21,"f","comp",2,"e"
"Old Drop",624,0.233015999999992,153.4709917,153.7040077,"P9",21,"f","comp",2,"e"
"Old Drop",627,0.3819996,158.9798755,159.3618751,"P9",21,"f","comp",2,"e"
"Old Drop",629,0.183001500000017,160.8598739,161.0428754,"P9",21,"f","comp",2,"e"
"Old Drop",630,0.578001700000016,164.5648746,165.1428763,"P9",21,"f","comp",2,"e"
"Old Drop",639,0.253001100000006,178.6358737,178.8888748,"P9",21,"f","comp",2,"e"
"Old Drop",641,0.263002400000005,181.9458737,182.2088761,"P9",21,"f","comp",2,"e"
"Old Drop",643,0.279978200000016,183.7639003,184.0438785,"P9",21,"f","comp",2,"e"
"Old Drop",646,0.0930022000000008,192.5748761,192.6678783,"P9",21,"f","comp",2,"e"
"Old Drop",649,0.358999400000016,198.5258758,198.8848752,"P9",21,"f","comp",2,"e"
"Old Drop",653,-0.103999900000019,203.4465145,203.3425146,"P9",21,"f","comp",2,"e"
"Old Drop",657,0.383999599999981,208.4440844,208.828084,"P9",21,"f","comp",2,"e"
"Old Drop",659,0.279999899999979,210.3220841,210.602084,"P9",21,"f","comp",2,"e"
"Old Drop",660,0.31100570000001,213.4920828,213.8030885,"P9",21,"f","comp",2,"e"
"Old Drop",662,0.557001400000019,216.0680823,216.6250837,"P9",21,"f","comp",2,"e"
"Old Drop",664,0.353000000000009,218.3734896,218.7264896,"P9",21,"f","comp",2,"e"
"Old Drop",667,0.505037999999985,222.7164883,223.2215263,"P9",21,"f","comp",2,"e"
"Old Drop",669,0.306999200000007,224.5364902,224.8434894,"P9",21,"f","comp",2,"e"
"Old Drop",671,0.530999600000001,226.3504896,226.8814892,"P9",21,"f","comp",2,"e"
"Old Drop",673,0.376999100000006,228.9084907,229.2854898,"P9",21,"f","comp",2,"e"
"Old Drop",674,0.623001599999981,238.4420272,239.0650288,"P9",21,"f","comp",2,"e"
"Old Drop",676,0.2850009,240.6410269,240.9260278,"P9",21,"f","comp",2,"e"
"Old Drop",692,0.306001200000026,278.6345909,278.9405921,"P9",21,"f","comp",2,"e"
"Old Drop",694,0.440000600000019,280.9445912,281.3845918,"P9",21,"f","comp",2,"e"
"Old Drop",696,0.157000500000038,283.0425916,283.1995921,"P9",21,"f","comp",2,"e"
"Grab",2,0.906007800000001,24.0084186,24.9144264,"P9",21,"f","solo",1,"e"
"Grab",3,0.254002199999999,30.881004,31.1350062,"P9",21,"f","solo",1,"e"
"Grab",5,0.481893800000002,35.6134711,36.0953649,"P9",21,"f","solo",1,"e"
"Grab",7,0.308992500000002,41.1991534,41.5081459,"P9",21,"f","solo",1,"e"
"Grab",9,0.275785900000002,44.3172674,44.5930533,"P9",21,"f","solo",1,"e"
"Grab",12,0.218049399999998,55.7118168,55.9298662,"P9",21,"f","solo",1,"e"
"Grab",14,0.173973799999999,59.4362497,59.6102235,"P9",21,"f","solo",1,"e"
"Grab",16,0.272012599999996,61.6142398,61.8862524,"P9",21,"f","solo",1,"e"
"Grab",18,0.355659299999999,63.9488745,64.3045338,"P9",21,"f","solo",1,"e"
"Grab",20,0.152014100000002,66.2533083,66.4053224,"P9",21,"f","solo",1,"e"
"Grab",22,0.241521800000001,69.9608898,70.2024116,"P9",21,"f","solo",1,"e"
"Grab",23,0.107974600000006,70.9074898,71.0154644,"P9",21,"f","solo",1,"e"
"Grab",25,0.140000700000002,72.8043254,72.9443261,"P9",21,"f","solo",1,"e"
"Grab",27,0.154530199999996,74.3257928,74.480323,"P9",21,"f","solo",1,"e"
"Grab",28,0.109962599999989,77.0616384,77.171601,"P9",21,"f","solo",1,"e"
"Grab",29,0.106766800000003,79.8817827,79.9885495,"P9",21,"f","solo",1,"e"
"Grab",31,1.489693,81.5295591,83.0192521,"P9",21,"f","solo",1,"e"
"Grab",33,0.212593399999989,88.6798339,88.8924273,"P9",21,"f","solo",1,"e"
"Grab",34,0.1746883,92.8777368,93.0524251,"P9",21,"f","solo",1,"e"
"Grab",36,0.465977599999988,95.7072066,96.1731842,"P9",21,"f","solo",1,"e"
