"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","solo",1,"e","grab",287.0285,638303013077780661,638303013080650946,"Regular Blue CubeClone279 was picked up"
"nuP11","solo",1,"e","grab",1188.6933,638303013107037470,638303013118924403,"Regular Gold CubeClone261 was picked up"
"nuP11","solo",1,"e","grab",230.2405,638303013119109558,638303013121411963,"Regular Blue CubeClone285 was picked up"
"nuP11","solo",1,"e","grab",1994.8145,638303013181721009,638303013201669154,"Regular Gold CubeClone292 was picked up"
"nuP11","solo",1,"e","grab",250.5458,638303013244314104,638303013246819562,"Regular Red CubeClone304 was picked up"
"nuP11","solo",1,"e","grab",198.0026,638303013274455379,638303013276435405,"Regular Red CubeClone305 was picked up"
"nuP11","solo",1,"e","grab",77.0773,638303013363018854,638303013363789627,"Regular Neutral CubeClone323 was picked up"
"nuP11","solo",1,"e","grab",317.0413,638303013405849509,638303013409019922,"Regular Gold CubeClone304 was picked up"
"nuP11","solo",1,"e","grab",127.7775,638303013430057323,638303013431335098,"Regular Neutral CubeClone331 was picked up"
"nuP11","solo",1,"e","grab",558.2425,638303013505842158,638303013511424583,"Regular Neutral CubeClone342 was picked up"
"nuP11","solo",1,"e","grab",297.7167,638303013553669875,638303013556647042,"Regular Blue CubeClone346 was picked up"
"nuP11","solo",1,"e","grab",194.2065,638303013589348336,638303013591290401,"Regular Neutral CubeClone355 was picked up"
"nuP11","solo",1,"e","grab",121.6304,638303013614438451,638303013615654755,"Regular Gold CubeClone333 was picked up"
"nuP11","solo",1,"e","grab",829.1726,638303013712197812,638303013720489538,"Regular Neutral CubeClone372 was picked up"
"nuP11","solo",1,"e","grab",145.0255,638303013741821272,638303013743271527,"Regular Neutral CubeClone374 was picked up"
"nuP11","solo",1,"e","grab",49.9995,638303013759530937,638303013760030932,"Regular Neutral CubeClone377 was picked up"
"nuP11","solo",1,"e","grab",314.8801,638303013816102787,638303013819251588,"Regular Blue CubeClone386 was picked up"
"nuP11","solo",1,"e","grab",160.0147,638303013941092974,638303013942693121,"Regular Blue CubeClone399 was picked up"
"nuP11","solo",1,"e","grab",376.7278,638303013962839271,638303013966606549,"Regular Neutral CubeClone407 was picked up"
"nuP11","solo",1,"e","grab",132.0041,638303014035360068,638303014036680109,"Regular Blue CubeClone413 was picked up"
"nuP11","solo",1,"e","place",672.0525,638303011080105360,638303011086825885,"Regular Red CubeClone1was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",744.1298,638303011101756291,638303011109197589,"Regular Red CubeClone4was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",497.9761,638303011150078463,638303011155058224,"Regular Red CubeClone9was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",582.2588,638303011169688376,638303011175510964,"Regular Blue CubeClone13was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",563.9712,638303011192187369,638303011197827081,"Regular Blue CubeClone18was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",795.6429,638303011263519147,638303011271475576,"Regular Blue CubeClone25was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",499.2087,638303011288522334,638303011293514421,"Regular Blue CubeClone30was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",667.6062,638303011338439345,638303011345115407,"Regular Neutral CubeClone38was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",699.9117,638303011444640141,638303011451639258,"Regular Neutral CubeClone53was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",580.5905,638303011475272653,638303011481078558,"Regular Neutral CubeClone57was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",510.0095,638303011508268982,638303011513369077,"Regular Neutral CubeClone61was dropped in DropzonePlaceHolderClone2"
