"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P13","co","2",32,"m","c",285.0648,637959137386421930,637959137389272578,"red"
"P13","co","2",32,"m","c",387.0882,637959137437943592,637959137441814474,"red"
"P13","co","2",32,"m","c",209.3979,637959137538081996,637959137540175975,"red"
"P13","co","2",32,"m","c",132.0307,637959137579906677,637959137581226984,"gray"
"P13","co","2",32,"m","c",496.1125,637959137699193661,637959137704154786,"red"
"P13","co","2",32,"m","c",515.1159,637959137735161802,637959137740312961,"red"
"P13","co","2",32,"m","c",555.1267,637959137764848506,637959137770399773,"gray"
"P13","co","2",32,"m","c",61.014,637959137801126726,637959137801736866,"red"
"P13","co","2",32,"m","c",344.08,637959137846607003,637959137850047803,"red"
"P13","co","2",32,"m","c",30.0087,637959137883755410,637959137884055497,"gray"
"P13","co","2",32,"m","c",391.0885,637959137936981990,637959137940892875,"gray"
"P13","co","2",32,"m","c",539.1224,637959137971010479,637959137976401703,"gray"
"P13","co","2",32,"m","c",209.0473,637959138007221632,637959138009312105,"red"
"P14","s","1",22,"m","e",1043.2362,637959144742070575,637959144752502937,"gold"
"P14","s","1",22,"m","e",616.141,637959144774717953,637959144780879363,"blue"
"P14","s","1",22,"m","e",393.0904,637959144873090212,637959144877021116,"red"
"P14","s","1",22,"m","e",677.1543,637959144901276585,637959144908048128,"red"
"P14","s","1",22,"m","e",222.0524,637959144943646171,637959144945866695,"red"
"P14","s","1",22,"m","e",265.0606,637959144986185797,637959144988836403,"gray"
"P14","s","1",22,"m","e",283.0646,637959145066708036,637959145069538682,"red"
"P14","s","1",22,"m","e",287.4588,637959145105531360,637959145108405948,"gold"
"P14","s","1",22,"m","e",350.079,637959145127225014,637959145130725804,"gold"
"P14","s","1",22,"m","e",223.0501,637959145192689829,637959145194920330,"gray"
"P14","s","1",22,"m","e",163.0368,637959145246532010,637959145248162378,"gold"
