"Participant","Condition","Trial","Age","Gender","Group","MovementTime","PlaceStart","PlaceEnd","Color"
"P13","s","1",32,"m","c",883.6512,637959131995262903,637959132004099415,"red"
"P13","s","1",32,"m","c",860.1959,637959132023503810,637959132032105769,"blue"
"P13","s","1",32,"m","c",0,637959132051750193,637959132051750193,"red"
"P13","s","2",32,"m","c",0,637959132604902507,637959132604902507,"blue"
"P13","s","2",32,"m","c",484.1093,637959132633609003,637959132638450096,"blue"
"P13","s","2",32,"m","c",438.0994,637959132748174923,637959132752555917,"gray"
"P13","s","2",32,"m","c",291.0657,637959132792494946,637959132795405603,"red"
"P13","s","2",32,"m","c",711.1616,637959132833794287,637959132840905903,"red"
"P13","s","2",32,"m","c",752.172,637959132863571025,637959132871092745,"red"
"P13","s","2",32,"m","c",509.1149,637959132895158175,637959132900249324,"blue"
"P13","s","2",32,"m","c",470.1068,637959132946416379,637959132951117447,"red"
"P13","s","2",32,"m","c",588.1332,637959132978018459,637959132983899791,"blue"
"P13","s","2",32,"m","c",273.0621,637959133006444898,637959133009175519,"gray"
"P13","s","2",32,"m","c",760.1719,637959133041492822,637959133049094541,"red"
"P13","s","2",32,"m","c",331.0752,637959133068478933,637959133071789685,"blue"
"P13","s","2",32,"m","c",258.0602,637959133090363878,637959133092944480,"red"
"P13","s","2",32,"m","c",700.1586,637959133127282233,637959133134283819,"gray"
"P13","s","2",32,"m","c",856.1947,637959133151557723,637959133160119670,"gray"
"P13","s","2",32,"m","c",438.098,637959133181154426,637959133185535406,"gold"
"P13","s","2",32,"m","c",261.0608,637959133207330337,637959133209940945,"gray"
"P13","s","2",32,"m","c",429.0975,637959133234186417,637959133238477392,"gray"
"P13","s","2",32,"m","c",276.0621,637959133261762654,637959133264523275,"gray"
"P13","s","2",32,"m","c",1315.8789,637959133304162243,637959133317321032,"blue"
"P13","s","2",32,"m","c",993.2252,637959133346633543,637959133356565795,"gray"
"P13","s","2",32,"m","c",790.0566,637959133376681865,637959133384582431,"blue"
"P13","s","2",32,"m","c",749.5572,637959133409215034,637959133416710606,"blue"
"P13","s","2",32,"m","c",230.0533,637959133447697527,637959133449998060,"blue"
"P13","s","2",32,"m","c",487.1103,637959133471872999,637959133476744102,"red"
"P13","s","2",32,"m","c",592.1338,637959133494188051,637959133500109389,"red"
"P13","s","2",32,"m","c",0,637959133531506485,637959133531506485,"red"
"P13","co","1",32,"m","c",45.0101,637959135577846036,637959135578296137,"red"
"P13","co","1",32,"m","c",815.512,637959135628606191,637959135636761311,"gray"
"P13","co","1",32,"m","c",373.0844,637959135789675907,637959135793406751,"gray"
"P13","co","1",32,"m","c",641.145,637959135833555834,637959135839967284,"red"
"P13","co","1",32,"m","c",0,637959136017221183,637959136017221183,"gray"
"P13","co","1",32,"m","c",531.1202,637959136042155788,637959136047466990,"red"
"P13","co","1",32,"m","c",426.0969,637959136145949267,637959136150210236,"red"
"P13","co","1",32,"m","c",444.1008,637959136323979541,637959136328420549,"red"
"P13","co","1",32,"m","c",545.2211,637959136349190310,637959136354642521,"red"
"P13","co","1",32,"m","c",735.1669,637959136651536737,637959136658888406,"red"
"P13","co","1",32,"m","c",0,637959136680343251,637959136680343251,"red"
"P14","s","1",22,"m","e",500.1137,637959144794762488,637959144799763625,"blue"
"P14","s","1",22,"m","e",382.0855,637959144829580374,637959144833401229,"blue"
"P14","s","1",22,"m","e",337.0763,637959144885072920,637959144888443683,"red"
"P14","s","1",22,"m","e",554.1243,637959144915049720,637959144920590963,"red"
"P14","s","1",22,"m","e",1327.3026,637959144953578415,637959144966851441,"red"
"P14","s","1",22,"m","e",323.0731,637959145005670204,637959145008900935,"gray"
"P14","s","1",22,"m","e",598.1353,637959145046653501,637959145052634854,"blue"
"P14","s","1",22,"m","e",976.8894,637959145085090836,637959145094859730,"red"
"P14","s","1",22,"m","e",971.2197,637959145158672132,637959145168384329,"blue"
"P14","s","1",22,"m","e",857.1943,637959145221446326,637959145230018269,"gray"
"P14","s","1",22,"m","e",364.0823,637959145254183735,637959145257824558,"gold"
"P14","s","1",22,"m","e",1230.2789,637959145284610623,637959145296913412,"red"
"P14","s","1",22,"m","e",1016.2305,637959145331491225,637959145341653530,"blue"
"P14","s","1",22,"m","e",477.1081,637959145370850135,637959145375621216,"blue"
