,Participant,Age,Gender,avgTotalTransferTime,avgTotalTransferTimeReal,avgView2Play,avgBuild2Play,avgPlay2Build,avgPlay2View,avgTotalFix,avgViewFix,avgBuildFix,avgPlayFix,totalBuildWallCount,totalPlayWallCount,totalViewWallCount,totalPlayWallGazeTime,totalBuildWallGazeTime,totalViewWallGazeTime,avgTimeBetweenViewWallChecks,avgGrab2Build,avgGameTime,group,condition,pacStay,pacMove
42,P30,18,f,165.7049342,149.726455,62.5546875,206.6445313,201.5254934,128.181108,881.3816489,661.9027218,933.7377717,1021.373047,28,41,26,40854.92188,21475.96875,20518.98438,84550.96725,2315.611178,97388.09375,c,co,452.3769531,347.0813802
43,P4,NA,m,429.745864,291.6951335,39.0078125,510.3166667,417.4091797,200.046875,1257.308364,296.5625,791.125,1781.675551,16,17,1,30288.48438,11866.875,593.125,0,2820.442188,81668.72656,e,s,396.5836397,327.7791193
44,P4,NA,m,261.7776639,234.2005167,92.48197115,374.4722222,397.9162326,71.93164063,1630.375521,534.9663462,1528.106337,2184.898438,18,31,12,63362.05469,27505.91406,6954.5625,205116.2741,51277.86328,227649.0859,e,co,549.3920455,391.875558
45,P5,NA,m,118.9820056,112.7884743,45.61119792,194.5261315,152.1757813,58.84078664,831.8816057,630.0241935,1026.809224,835.4033043,34,59,29,50959.60156,31831.08594,19530.75,130686.4348,11089.85666,132514.0781,c,s,326.9414063,450.2890625
46,P5,NA,m,135.6295909,135.0579993,46.34407552,237.3410326,190.2815897,66.26529948,1069.09847,640.3575721,1900.255534,877.7831182,24,47,26,40378.02344,45606.13281,16649.29688,99309.61268,2339.761068,105865.2539,c,co,233.0535714,437.6037946
47,P6,NA,m,255.8721084,200.1247482,30.3265625,368.5709375,342.0883789,59.51311384,892.8020833,714.8160022,641.0393689,1129.663857,48,75,31,85854.45313,32693.00781,20729.66406,68863.50706,8208.787446,225530.457,e,s,410.2575758,436.9715909
48,P6,NA,m,223.2628676,185.8542504,42.01302083,221.5518973,261.8052083,218.046875,1476.9892,385.984375,1474.031808,1671.954963,15,17,2,28423.23438,20636.44531,1157.953125,12799.75,1563.069602,4.29046E+14,e,co,436.1398026,434.8678125
49,P7,26,f,285.9413281,192.905689,61.30022321,371.6159157,267.192294,71.51432292,897.614899,423.953125,580.399891,1243.653221,44,50,6,60939.00781,24957.19531,2967.671875,73673.10677,1374.823206,74811.39453,e,s,276.3525391,313.871875
50,P7,26,f,178.7396673,139.4062783,97.39550781,210.9011549,218.039388,31.2890625,1732.654713,448.9658203,2147.813179,1756.683594,24,31,7,52700.50781,49399.70313,3591.726563,66576.35379,2022.170759,119354.75,e,co,596.2265625,526.665483
51,P8,18,m,393.5428856,337.1173747,42.0078125,432.0766602,607.4494792,266.9355469,1497.216667,650.4072266,512.3339844,2570.197545,15,24,8,53974.14844,8197.34375,5203.257813,47428.00879,18893.27344,92594.94922,e,s,425.5080819,341.1828926
52,P8,18,m,327.250651,265.9706143,192.7939453,316.9261364,477.643821,76.51855469,1432.515753,465.9794922,770.5934103,2197.732552,22,30,8,65931.97656,17723.64844,3727.835938,107146.1055,5907.555398,69118.20703,e,co,479.1500822,422.2440104
53,P9,NA,f,221.621875,149.0482644,60.01302083,273.1631098,195.3372396,67.6796875,1086.991501,551.625,994.2700893,1221.119618,42,44,4,54950.38281,41759.34375,2206.5,40806.36523,3001.227273,75886.46875,c,s,512.3464355,454.490579
54,P9,NA,f,224.666599,251.2384847,411.2591146,218.1225586,211.2851563,164.2871094,1292.419613,669.8333333,1191.204545,1483.652449,35,38,4,54895.14063,39309.75,4019,41811.72656,1858.189815,66035.77344,c,co,548.294375,488.7061942
