"Participant","Condition","Trial","Group","startTime","endTime","Duration_Time","hand_avgVel","hand_peak_vel","hand_avg_accel","hand_peak_accel","hand_time2PeakVel","hand_time2PeakAccel","handRot_avgVel","handRot_peak_vel","handRot_avg_accel","handRot_peak_accel","handRot_time2PeakVel","handRot_time2PeakAccel","headRot_avgVel","headRot_peak_vel","headRot_avg_accel","headRot_peak_accel","headRot_time2PeakVel","headRot_time2PeakAccel","gaze_avgVel","gaze_peak_vel","gaze_avg_accel","gaze_peak_accel","gaze_time2PeakVel","gaze_time2PeakAccel"
"nuP13","comp",1,"Aut",638336713283481085,638336713296131437,1265.0352,0.292390674676974,0.707012656654489,1.31293262558597,2.14931450707465,4350092,7100236,74.9045869605514,240.752482080959,404.898255115564,1013.32324741961,4350092,2450109,68.2944803217878,213.637773133084,353.28319901552,948.817687691618,4250095,2450109,73.1785067176483,285.072667557021,739.743533222398,2372.50448410092,4430092,3410084
"nuP13","comp",1,"Aut",638336713385898937,638336713395312808,941.3871,0.3409628016273,0.66862189506843,1.7755713638156,2.40355174343199,5081291,8201291,84.7233703633226,213.030623895862,473.123130951625,997.778938588016,4971294,3251298,80.824563795531,199.968861730384,430.625894025639,1109.85574449853,4751296,3151297,74.0366331009962,224.453648725531,952.887318525826,2672.71303468323,8446685,8696677
"nuP13","comp",1,"Aut",638336713424410808,638336713439101428,1469.062,0.290312710622838,0.774656015971409,1.39209082280756,2.98367901545863,4449961,1709990,79.1178545940105,282.281334646229,416.478774671514,1274.26411916293,3889977,1809976,69.1644790150069,251.46307637744,367.897511666125,1314.51597683612,3889977,2259976,62.4905570781119,319.778036192809,698.590575519156,2893.7733388216,6329964,6329964
"nuP13","comp",1,"Aut",638336713511995841,638336713537482342,2548.6501,0.237235004164751,0.825456385513771,1.18622881859267,3.26359090199317,4386509,6176617,50.6148669824497,272.265820372621,265.541392815452,1181.44415900961,4596505,1996518,47.8602627563073,258.460485008673,253.088361210773,1246.87917201369,4386509,2096509,44.8263525862598,315.355988475281,473.275019278801,2783.25071828534,5106495,4116494
"nuP13","comp",1,"Aut",638336713583677738,638336713595547697,1186.9959,0.357454208542474,0.683621153228129,1.62301504937617,3.14834289086398,6489964,7859964,112.888768928234,251.399559570286,500.729324812074,1063.57675605671,5219971,6889963,98.6721346756366,256.014765991622,470.908183549198,1248.15906987135,4869971,2769986,57.3640416900519,234.759536890748,642.624225809287,2015.0925992173,8319981,8319981
"nuP13","comp",1,"Aut",638336713686361892,638336713699980054,1361.8162,0.212374084833164,0.533581898803971,1.15401633757242,2.92578329582322,5165014,2588951,68.7501850959534,237.559391964225,374.634387641469,1058.15830271543,5595007,6686012,62.0234420077942,234.477188115846,360.605247396176,1162.71094390354,5474990,3418944,44.6804203499522,162.757741065218,501.491491680187,1910.76230462117,6246113,3398955
"nuP13","comp",1,"Aut",638336713730906843,638336713744556474,1364.9631,0.343850126494093,0.715652898450179,1.6027906987903,3.49884137529082,5841624,2601633,87.9239341607711,245.577794334776,418.47793257954,1159.61388504638,5841624,2387224,80.9304506819786,253.770127717899,429.779726624758,1244.50936980347,5611623,3351637,93.0972845642274,411.216436574414,1121.68270387822,3165.23566539656,7661636,7781627
"nuP13","comp",1,"Aut",638336713794037267,638336713806537390,1250.0123,0.28114297170669,0.599194282658739,1.39130487120751,2.58398600218319,6350202,6880197,76.1497327514853,195.661162250728,356.788403182146,845.068039510196,5630088,2900003,69.6105928440429,199.601710670645,356.576483988276,992.925350778773,5310090,3479988,81.7637566326781,364.17128859467,1179.78499059837,4018.83339233587,4209979,4309985
"nuP13","comp",1,"Aut",638336713958466546,638336713969126616,1066.007,0.448381709912019,0.995980823896599,2.22821970416097,3.79666610995874,4179980,1909993,99.3954468773951,318.628308334,623.148626091721,1748.26481185422,3979982,4699972,94.0581621499328,308.452084858615,591.439026278974,1933.73681151849,3479984,2250002,98.5486789738921,231.290345785533,1159.46203005713,2911.95668607005,4589976,6499987
"nuP13","comp",1,"Aut",638336714001543077,638336714018705664,1716.2587,0.317773675116494,0.921024550921323,1.52183791338739,3.8240354522195,4872584,2615189,83.7572223748913,307.382533388085,444.315951071787,1462.52139834449,5082582,5692588,70.0632309021767,289.030581977073,400.173491420456,1563.16393942947,4972590,3000396,35.0985739097716,183.536650665989,487.909401277328,2350.8683295775,9593398,9123834
