"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"sd12","solo",1,"e","grab",387.6343,638265792951318645,638265792955194988,"Regular Blue CubeClone83 was picked up","Blue"
"sd12","solo",1,"e","grab",368.6086,638265793002985854,638265793006671940,"Regular Neutral CubeClone93 was picked up","White"
"sd12","solo",1,"e","grab",290.5491,638265793025413184,638265793028318675,"Regular Gold CubeClone68 was picked up","Gold"
"sd12","solo",1,"e","grab",290.5491,638265793025413184,638265793028318675,"Regular Gold CubeClone68 was picked up","Gold"
"sd12","solo",1,"e","grab",344.0744,638265793046355518,638265793049796262,"Regular Neutral CubeClone100 was picked up","White"
"sd12","solo",1,"e","grab",356.919,638265793074823206,638265793078392396,"Regular Neutral CubeClone105 was picked up","White"
"sd12","solo",1,"e","grab",145.4152,638265793097713111,638265793099167263,"Regular Neutral CubeClone106 was picked up","White"
"sd12","solo",1,"e","grab",223.9249,638265793128676100,638265793130915349,"Regular Red CubeClone111 was picked up","Red"
"sd12","solo",1,"e","grab",242.5137,638265793227360457,638265793229785594,"Regular Red CubeClone122 was picked up","Red"
"sd12","solo",1,"e","grab",108.7091,638265793285215189,638265793286302280,"Regular Neutral CubeClone132 was picked up","White"
"sd12","solo",1,"e","grab",204.6814,638265793308075421,638265793310122235,"Regular Neutral CubeClone136 was picked up","White"
"sd12","solo",1,"e","grab",277.1018,638265793336454262,638265793339225280,"Regular Neutral CubeClone141 was picked up","White"
"sd12","solo",1,"e","grab",358.0007,638265793358539880,638265793362119887,"Regular Blue CubeClone140 was picked up","Blue"
"sd12","solo",1,"e","grab",112.699,638265793395849708,638265793396976698,"Regular Red CubeClone148 was picked up","Red"
"sd12","solo",1,"e","grab",298.1272,638265793398582402,638265793401563674,"Regular Blue CubeClone149 was picked up","Blue"
"sd12","solo",1,"e","grab",571.6107,638265793424069448,638265793429785555,"Regular Neutral CubeClone152 was picked up","White"
"sd12","solo",1,"e","grab",270.4466,638265793433560259,638265793436264725,"Regular Blue CubeClone150 was picked up","Blue"
"sd12","solo",1,"e","grab",370.6392,638265793464946963,638265793468653355,"Regular Red CubeClone157 was picked up","Red"
"sd12","solo",1,"e","grab",787.2957,638265793488567286,638265793496440243,"Regular Neutral CubeClone162 was picked up","White"
"sd12","solo",1,"e","grab",342.9047,638265793522400531,638265793525829578,"Regular Blue CubeClone166 was picked up","Blue"
"sd12","solo",1,"e","grab",202.0761,638265793560094438,638265793562115199,"Regular Red CubeClone171 was picked up","Red"
"sd12","solo",1,"e","grab",233.2544,638265793617681072,638265793620013616,"Regular Red CubeClone178 was picked up","Red"
"sd12","solo",1,"e","grab",371.4031,638265793637652495,638265793641366526,"Regular Blue CubeClone180 was picked up","Blue"
"sd12","solo",1,"e","grab",177.4763,638265793675522389,638265793677297152,"Regular Red CubeClone182 was picked up","Red"
