"Participant","Condition","Trial","Group","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"sdP8","comp",2,"c",537.242225446429,250.23336,977.036440983607,79.1344833333333,224,45,122,6,1203422585,112605012,1191984458,4748069
"sdP8","solo",1,"c",920.396997560976,482.981682978723,681.6231352,NA,164,47,125,0,1509451076,227001391,852028919,0
"sdP8","solo",2,"c",895.771867741935,568.803808333333,920.413650943396,NA,155,36,106,0,1388446395,204769371,975638470,0
"sdP8","co",1,"c",769.242196226415,361.183363043478,965.657979787234,44.9458428571429,159,92,94,7,1223095092,332288694,907718501,3146209
"sdP8","co",2,"c",781.916248823529,298.19440625,1037.51390689655,335.4255,170,80,87,4,1329257623,238555525,902637099,13417020
"sdP8","comp",1,"c",502.966046861925,313.996756862745,724.801832894737,44.543425,239,51,152,4,1202088852,160138346,1101698786,1781737
"sdP9","comp",2,"e",740.6773,160.940824489796,528.65832979798,82.47035,195,49,198,4,1444320735,78861004,1046743493,3298814
"sdP9","solo",1,"e",749.782662857143,407.174644680851,1583.00259230769,NA,140,47,91,0,1049695728,191372083,1440532359,0
"sdP9","solo",2,"e",854.938849152543,408.025473913043,935.069164948454,NA,177,46,97,0,1513241763,187691718,907017090,0
"sdP9","co",1,"e",1027.9560448,349.509451724138,903.848680672269,152.637983333333,125,58,119,12,1284945056,202715482,1075579930,18316558
"sdP9","co",2,"e",1034.79623561644,288.689833962264,973.762005940594,41.50022,146,53,101,5,1510802504,153005612,983499626,2075011
"sdP9","comp",1,"e",751.323049710983,376.684684375,787.372448366013,44.88,173,32,153,1,1299788876,120539099,1204679846,448800
