"","Participant","Condition","Trial","avgPlayWallDurration","avgViewWAllDurration","avgBuildWallDurration","avgPlayerDurration","playWallCounter","viewWallCounter","buildWallCounter","playerCounter","playWallTotalTime","viewWallTotalTime","buildWallTotalTime","playerTotalTime"
"103","sdP5","co",2,1074.68585149254,408.254271875,1068.59934193548,NA,134,64,93,0,1440079041,1.29090822720877e-315,4.91001148337564e-315,0
"104","sdP5","comp",1,790.633804347826,330.283572972973,838.956841085271,NA,161,74,129,0,1272920425,1.20754507425818e-315,5.34704682045607e-315,0
"105","sdP7","co",2,730.93439695122,317.8024325,1043.86168636364,88.55042,164,80,110,5,1198732411,1.25612211250425e-315,5.67309818066401e-315,4427521
"106","sdP7","solo",1,603.842559183673,445.172640659341,789.064379032258,NA,196,91,124,0,1183531416,2.00149502478571e-315,4.83413506525749e-315,0
"107","sdP7","solo",2,568.920501980198,349.274585,678.946637226277,NA,202,140,137,0,1149219414,2.41590402779542e-315,4.59558566073732e-315,0
"108","sdP7","co",1,761.330787096774,423.933568674699,1073.73016960784,46.1797,155,83,102,2,1180062720,1.73844340292871e-315,5.41103053500661e-315,923594
"109","sdP7","comp",1,680.868240306122,310.06597260274,750.601321428572,277.001,196,73,140,1,1334501751,1.11830849855378e-315,5.1918485729726e-315,2770010
"110","sdP7","comp",2,778.696848888889,251.739066197183,608.164443046358,179.043133333333,180,71,151,3,1401654328,8.83066932701703e-316,4.53714469080385e-315,5371294
"111","sdP8","comp",2,537.242225446429,250.23336,977.036440983607,79.1344833333333,224,45,122,6,1203422585,5.56342679787413e-316,5.88918571074498e-315,4748069
"112","sdP8","solo",1,920.396997560976,482.981682978723,681.6231352,NA,164,47,125,0,1509451076,1.12153588851276e-315,4.20958218141154e-315,0
"113","sdP8","solo",2,895.771867741935,568.803808333333,920.413650943396,NA,155,36,106,0,1388446395,1.01169511531621e-315,4.82029450788116e-315,0
"114","sdP8","co",1,769.242196226415,361.183363043478,965.657979787234,44.9458428571429,159,92,94,7,1223095092,1.64172428206854e-315,4.48472527438613e-315,3146209
"115","sdP8","co",2,781.916248823529,298.19440625,1037.51390689655,335.4255,170,80,87,4,1329257623,1.17862089528123e-315,4.45961981277704e-315,13417020
"116","sdP8","comp",1,502.966046861925,313.996756862745,724.801832894737,44.543425,239,51,152,4,1202088852,7.9118855340439e-316,5.44311522227607e-315,1781737
"117","sdP9","comp",2,740.6773,160.940824489796,528.65832979798,82.47035,195,49,198,4,1444320735,3.89625128729491e-316,5.17159999899167e-315,3298814
"118","sdP9","solo",1,749.782662857143,407.174644680851,1583.00259230769,NA,140,47,91,0,1049695728,9.45503717833796e-316,7.11717550304549e-315,0
"119","sdP9","solo",2,854.938849152543,408.025473913043,935.069164948454,NA,177,46,97,0,1513241763,9.27320298727231e-316,4.48125984359898e-315,0
"120","sdP9","co",1,1027.9560448,349.509451724138,903.848680672269,152.637983333333,125,58,119,12,1284945056,1.0015475553635e-315,5.31407092769333e-315,18316558
"121","sdP9","co",2,1034.79623561644,288.689833962264,973.762005940594,41.50022,146,53,101,5,1510802504,7.55948165101152e-316,4.85913377904314e-315,2075011
"122","sdP9","comp",1,751.323049710983,376.684684375,787.372448366013,44.88,173,32,153,1,1299788876,5.9554227796557e-316,5.95190926145923e-315,448800
