"","TimeEpoch","condition","Participant","MeanPercent","MeanPupilSize"
"2046",1,"comp","sdP13",7.69677216137694,3.94927788888786
"2047",1,"comp","sdP14",4.42378510792733,3.63885722837841
"2048",1,"comp","sdP15",12.0437509519782,5.30168181190207
"2049",1,"comp","sdP2",6.32400857252914,5.70608837728
"2050",1,"comp","sdP3",8.93425303856906,3.13686141948815
"2051",1,"comp","sdP4",5.24888503735438,5.47365777702121
"2052",1,"comp","sdP5",7.70110281930732,4.49905192076508
"2053",1,"comp","sdP7",10.7005657157821,4.27570962374977
"2054",1,"comp","sdP8",7.16011685944999,4.40887814779372
"2055",1,"comp","sdP9",9.52879511544066,3.78996365462279
"2056",1,"solo","P2",4.14688816693546,3.66959169593328
"2057",1,"solo","P3",2.4729426056281,5.68438817537559
"2058",1,"solo","P4",7.00638308959464,4.20589363795387
"2059",1,"solo","P5",7.85354143385434,3.02051332725168
"2060",1,"solo","P6",3.96231577526291,4.92486602175418
"2061",1,"solo","P7",6.65066626453805,4.01179052136792
"2062",1,"solo","P9",6.94563136526401,4.67089486434856
"2063",1,"solo","sd10",8.02910212546035,3.5013146291911
"2064",1,"solo","sd12",5.77268748524706,3.60151746043765
"2065",1,"solo","sdP1",10.6899788206235,4.28247301472474
"2066",1,"solo","sdP11",6.30879352067226,3.86795546188874
"2067",1,"solo","sdP12",6.28607618534691,3.70646850828352
"2068",1,"solo","sdP13",6.41243527806084,4.03894596448318
"2069",1,"solo","sdP14",8.15567214810703,4.02635444432423
"2070",1,"solo","sdP15",11.0640332901587,5.39022224129827
"2071",1,"solo","sdP2",5.86744091515733,5.76276616664815
"2072",1,"solo","sdP3",10.6863100757878,3.20305735120473
"2073",1,"solo","sdP4",5.84220111758951,5.67195562339105
"2074",1,"solo","sdP5",8.55546186602703,4.41517488925595
"2075",1,"solo","sdP7",10.2247662257704,4.52700270269974
"2076",1,"solo","sdP8",8.0075895879669,4.33963062322853
"2077",1,"solo","sdP9",8.12363381275427,3.79293463223311
"2078",1.1,"co","P2",14.421875593953,3.59685731520437
"2079",1.1,"co","P3",4.88752179604379,5.72346572776206
"2080",1.1,"co","P4",9.04152035602288,4.02420524423061
"2081",1.1,"co","P5",0.752004187510343,3.16960326220101
"2082",1.1,"co","P6",13.0871893738895,4.9741351306374
"2083",1.1,"co","P7",6.52139247163865,3.90303725752841
"2084",1.1,"co","P9",13.8101410048932,4.47616347769009
"2085",1.1,"co","sd10",8.4701269128572,3.43732142137617
"2086",1.1,"co","sd12",6.71043896172433,3.49598791384576
"2087",1.1,"co","sdP1",11.5636995996818,4.24650182353175
"2088",1.1,"co","sdP11",9.03098141769059,3.88437274981722
"2089",1.1,"co","sdP12",8.16362796061448,3.52095857202381
"2090",1.1,"co","sdP13",8.71836003645335,3.97286516191711
"2091",1.1,"co","sdP14",9.48977578687979,4.07050517406574
"2092",1.1,"co","sdP15",10.3176176350588,5.3586754657071
"2093",1.1,"co","sdP2",8.46529505707546,5.85911887865625
"2094",1.1,"co","sdP3",9.8307853424247,3.19843428102679
"2095",1.1,"co","sdP4",4.74124599457757,5.50895419248308
"2096",1.1,"co","sdP5",10.1451739769703,4.44423309493811
"2097",1.1,"co","sdP7",10.0601103953632,4.40963275844334
"2098",1.1,"co","sdP8",9.89372949326598,4.28239594174417
"2099",1.1,"co","sdP9",8.38830246961769,3.84742437689478
"2100",1.1,"co",NA,15.8027435326075,2.46993471428571
"2101",1.1,"comp","P2",17.490803242422,3.82306436813659
"2102",1.1,"comp","P3",14.8247661274987,5.69197132304033
"2103",1.1,"comp","P4",4.87165950174997,4.03921285265094
"2104",1.1,"comp","P5",0.627812954389184,3.18367852357156
"2105",1.1,"comp","P6",14.0850957504598,5.24879030852195
"2106",1.1,"comp","P7",8.8409790413554,4.0824727844697
"2107",1.1,"comp","P9",7.146069679034,4.38611285591209
"2108",1.1,"comp","Py",3.20447237353777,3.98651166727515
"2109",1.1,"comp","sd10",7.88834852598343,3.57623636550721
"2110",1.1,"comp","sdP1",10.6476975443812,4.30162065580611
"2111",1.1,"comp","sdP11",9.22030833411869,3.58258064330658
"2112",1.1,"comp","sdP12",4.05209068686414,3.70447635879766
"2113",1.1,"comp","sdP13",7.93447209215496,3.96914449475671
"2114",1.1,"comp","sdP14",4.09289454147439,3.62798457419844
"2115",1.1,"comp","sdP15",12.4518819549085,5.31670124177414
"2116",1.1,"comp","sdP2",7.25144946776759,5.74475372253809
"2117",1.1,"comp","sdP3",10.1516463090937,3.17187667576036
"2118",1.1,"comp","sdP4",5.26231077824709,5.4792277606658
"2119",1.1,"comp","sdP5",8.11600133551014,4.51463158017756
"2120",1.1,"comp","sdP7",10.9438655879062,4.28528687849818
"2121",1.1,"comp","sdP8",6.86299125360431,4.40104220314023
"2122",1.1,"comp","sdP9",10.1850156930559,3.80821973481879
"2123",1.1,"solo","P2",5.11364151527949,3.70215383315612
"2124",1.1,"solo","P3",2.81058945066964,5.71258928800709
"2125",1.1,"solo","P4",6.59678793702142,4.18631785316365
"2126",1.1,"solo","P5",8.41556984427484,3.03560996905002
"2127",1.1,"solo","P6",4.82242937975052,4.96461777785713
"2128",1.1,"solo","P7",7.88602253371324,4.06001200176865
"2129",1.1,"solo","P9",7.47424190806834,4.6926388603287
"2130",1.1,"solo","sd10",8.76819812736632,3.52419349274481
"2131",1.1,"solo","sd12",6.25602916396986,3.61481709050378
"2132",1.1,"solo","sdP1",10.0517126583758,4.25591450039895
"2133",1.1,"solo","sdP11",7.17063630909918,3.89939195522028
"2134",1.1,"solo","sdP12",6.38392367111652,3.71675502502747
"2135",1.1,"solo","sdP13",6.7580791438572,4.05814899524364
"2136",1.1,"solo","sdP14",7.99531168703871,4.02403364638245
"2137",1.1,"solo","sdP15",11.3168290839091,5.39535274776676
"2138",1.1,"solo","sdP2",6.24587402994694,5.786077888284
"2139",1.1,"solo","sdP3",12.1788494514465,3.2456635195433
"2140",1.1,"solo","sdP4",5.86865234198744,5.67137000053879
"2141",1.1,"solo","sdP5",9.14440502319984,4.43303166344967
"2142",1.1,"solo","sdP7",10.6368554048658,4.54375919812501
"2143",1.1,"solo","sdP8",8.2688535728269,4.35288648089512
"2144",1.1,"solo","sdP9",8.50791829308354,3.80739246695495
"2145",1.2,"co","P2",17.3030011109687,3.65851228497002
"2146",1.2,"co","P3",4.94139356591395,5.73809380272968
"2147",1.2,"co","P4",8.49348933741382,4.01245388801348
"2148",1.2,"co","P5",2.13093807762033,3.20157088047786
"2149",1.2,"co","P6",14.2556320790857,4.99608706209086
"2150",1.2,"co","P7",7.10450590871635,3.9169645335322
"2151",1.2,"co","P9",13.1748029735159,4.43549882038145
"2152",1.2,"co","sd10",8.63166400530539,3.44538361599451
"2153",1.2,"co","sd12",7.23718543642938,3.5111320848545
"2154",1.2,"co","sdP1",10.4851490956344,4.20618682589203
"2155",1.2,"co","sdP11",11.1573411179015,3.92359321049053
"2156",1.2,"co","sdP12",8.60762997226179,3.53119412589286
"2157",1.2,"co","sdP13",8.30479825094636,3.95963181047252
"2158",1.2,"co","sdP14",9.54337943191223,4.07331768831374
"2159",1.2,"co","sdP15",10.7697893976422,5.37711313407018
"2160",1.2,"co","sdP2",8.95087598222896,5.86792407097108
"2161",1.2,"co","sdP3",11.2854790076816,3.24111456283482
"2162",1.2,"co","sdP4",4.42548012822571,5.4996822694573
"2163",1.2,"co","sdP5",10.6000052425388,4.4737361775099
"2164",1.2,"co","sdP7",9.94752870112876,4.40489035866609
"2165",1.2,"co","sdP8",9.50323954787082,4.26251977563226
"2166",1.2,"co","sdP9",7.88189420317359,3.83297045014676
"2167",1.2,"co",NA,13.2129165065602,2.41469678571429
"2168",1.2,"comp","P2",17.7883210262115,3.83633895654625
"2169",1.2,"comp","P3",14.4549751872147,5.7071438519424
"2170",1.2,"comp","P4",4.3357840682055,4.01772228134304
"2171",1.2,"comp","P5",1.40920070455843,3.21375524244601
"2172",1.2,"comp","P6",14.1570496415105,5.26026145964719
"2173",1.2,"comp","P7",9.72909441653399,4.11540089834957
"2174",1.2,"comp","P9",6.83903220343678,4.36998068999385
"2175",1.2,"comp","Py",3.80082189528246,4.01406071593318
"2176",1.2,"comp","sd10",7.91323913157722,3.57077083334583
"2177",1.2,"comp","sdP1",10.1620110507781,4.28211794659208
"2178",1.2,"comp","sdP11",9.57817433351429,3.59511711311879
"2179",1.2,"comp","sdP12",4.31298140079433,3.70772323247698
"2180",1.2,"comp","sdP13",7.60431191747064,3.96556332258476
"2181",1.2,"comp","sdP14",4.57844741250203,3.64541223208414
"2182",1.2,"comp","sdP15",12.407280076404,5.31320726911675
"2183",1.2,"comp","sdP2",7.40896687103481,5.75633747218648
"2184",1.2,"comp","sdP3",12.1130585712014,3.22848941133018
"2185",1.2,"comp","sdP4",5.1667674463014,5.47853313560912
"2186",1.2,"comp","sdP5",8.46690308962799,4.52879630110396
"2187",1.2,"comp","sdP7",11.1782210022753,4.29205843952353
"2188",1.2,"comp","sdP8",6.40575690594195,4.38159268866211
"2189",1.2,"comp","sdP9",10.6613568022976,3.82688930350547
