"Participant","Condition","Trial","Group","grabPACcount","placePACcount","avgGrabPAC","avgPlacePAC","grabAreaPACcount","placeAreaPACcount","avgGrabAreaPAC","avgPlaceAreaPAC","avgGoldCubeGrab","totalGoldCubeGrabCount","avgBlueCubeGrab","totalBlueCubeGrabCount","avgRedCubeGrab","totalRedCubeGrabCount","avgWhiteCubeGrab","totalWhiteCubeGrabCount","grab2PlaceTime","grab2PlaceCount"
"sdP1","solo",2,"e",83,53,357.138231325301,693.914843396226,87,81,768.528010344828,345.901072839506,618.950746875,32,591.72957368421,38,513.002733333333,54,576.306843478261,46,847.516878858025,81
"sdP1","comp",1,"e",55,60,428.989167272727,672.16778,78,94,750.921482051282,434.423826595745,698.679755,20,653.4985925,40,594.42847368421,38,556.1274,35,907.506676136364,55
"sd10","comp",2,"e",56,73,375.240744642857,942.985350684932,87,96,688.317179310345,341.778888541667,831.256676,25,521.786648648649,37,556.134706666667,45,438.430322222222,36,926.96875,56
"sd10","solo",1,"e",77,51,506.515205194805,888.862819607843,73,66,744.032057534247,500.91061969697,757.6738,16,591.009013513513,37,653.477949019608,51,565.185245652174,46,1143.49384469697,66
"sd10","solo",2,"e",84,68,456.776935714286,867.564510294118,86,80,829.820913953488,420.67198375,568.406272727273,33,744.993355555556,36,593.730386792453,53,681.020477083333,48,1063.2626953125,80
"sd10","co",1,"e",33,28,477.5452,475.495196428571,56,33,824.155242857143,480.9259,719.071812,25,NA,0,716.174139534884,43,625.685804761905,21,1270.38401442308,26
"sd10","co",2,"e",32,32,419.34985,699.8666875,63,36,827.226647619048,503.053833333333,659.976086206897,29,NA,0,731.205882608696,46,637.984845,20,1407.0140625,30
"sd10","comp",1,"1",75,92,334.194746666667,856.284060869565,97,104,669.212916494846,456.482417307692,671.754292,25,517.757752083333,48,487.585859183673,49,488.806448,50,988.190459280303,66
"sdP11","comp",2,"e",56,29,386.179685714286,876.149737931035,74,99,806.610790540541,454.67735050505,744.510682352941,17,686.752068421053,38,593.8629,35,544.41998,40,1087.62890625,54
"sdP11","solo",1,"e",48,5,474.515108333333,233.3742,52,50,798.599805769231,321.283446,612.523,12,570.44657,30,775.824488235294,34,560.925391666667,24,1138.9278125,50
"sdP11","solo",2,"e",45,8,345.204811111111,400.7034625,62,62,734.970611290322,281.770659677419,767.574052941176,17,580.548961538462,26,533.444715625,32,496.5353625,32,978.205015120968,62
"sdP11","co",2,"e",15,6,412.269253333333,1168.51073333333,42,32,847.362042857143,379.821115625,900.695322222222,18,NA,0,572.221244827586,29,896.63127,10,1180.368125,25
"sdP11","co",1,"e",16,2,267.77805,163.7018,39,29,723.425484615385,430.771620689655,773.3647875,16,NA,0,457.179623333333,30,712.090822222222,9,1099.16875,20
"sdP11","comp",1,"e",51,26,356.915049019608,954.889534615385,74,94,750.913972972973,409.37785106383,684.317405882353,17,556.22924,40,634.404454054054,37,529.508748387097,31,1038.86418269231,52
"sdP12","comp",2,"e",38,52,271.162257894737,1093.336575,53,70,623.8226,436.271862857143,578.730266666667,12,486.002734615385,26,423.197879166667,24,469.971731034483,29,820.333096590909,33
"sd12","solo",1,"e",94,42,374.813922340425,907.548957142857,93,70,785.957047311828,314.25068,598.697995454546,22,587.228460606061,66,581.844443548387,62,549.289845945946,37,967.279551630435,69
"sdP12","solo",2,"e",69,30,271.308268115942,653.550253333333,73,56,691.022616438356,274.158660714286,385.100211111111,27,510.609292592593,27,557.695807894737,38,475.766484,50,1410.28440241228,57
"sdP12","co",1,"e",19,11,424.784084210526,428.494409090909,42,17,757.55290952381,534.326705882353,789.35612,25,NA,0,679.785881818182,22,371.351957142857,14,1534.08229166667,15
"sd12","co",2,"e",24,11,335.4196875,544.748027272727,48,20,893.854270833333,453.074015,999.0652,24,NA,0,549.030157142857,35,597.035169230769,13,1279.07666015625,16
"sdP12","comp",1,"e",38,52,261.971905263158,1301.34469038462,50,56,491.510704,451.418423214286,523.412672727273,11,344.944037037037,27,356.200530769231,26,424.926058333333,24,785.129375,25
"sdP13","comp",1,"e",49,38,276.618620408163,1007.74716052632,85,82,568.137108235294,274.389032926829,539.85780952381,21,376.129392857143,42,497.4007275,40,477.919,31,1026.41183035714,49
"sdP13","solo",1,"e",74,37,444.930302702703,1091.44157567568,80,70,689.25920875,280.417515714286,678.11532173913,23,607.646914285714,42,525.50175106383,47,529.742238095238,42,1002.82484148551,69
"sdP13","solo",2,"e",77,32,305.353435064935,998.14694375,81,74,563.853911111111,259.591144594595,473.026283870968,31,454.481215151515,33,409.843260465116,43,429.40051372549,51,993.251926369863,73
"sdP13","co",1,"e",33,26,342.241433333333,715.669530769231,63,38,776.691628571429,409.346047368421,798.496908,25,NA,0,608.585505128205,39,516.508828125,32,1436.36970766129,31
"sdP13","co",2,"e",27,17,279.750077777778,510.722158823529,54,35,701.104446296296,377.892382857143,768.148885,20,NA,0,472.037116216216,37,524.355883333333,24,1148.00390625,26
"sdP13","comp",1,"e",54,48,276.723733333333,793.703845833334,89,83,550.898935955056,295.905575903615,491.742805,20,478.246560416667,48,423.153690243902,41,406.855723529412,34,1055.439375,50
"sdP14","comp",2,"e",113,49,367.081318584071,846.194102040816,141,58,898.41004893617,462.144768965517,767.155176470588,51,627.787502409638,83,664.879676923077,65,612.864549090909,55,949.256944444444,36
"sdP14","solo",1,"e",68,43,315.614563235294,1167.58289534884,73,71,691.022435616438,359.575942253521,548.22325,16,576.660184615385,39,428.351923076923,39,509.348593617021,47,886.699933978873,71
"sdP14","solo",2,"e",63,50,299.024544444444,821.658102,67,64,814.918473134328,293.572121875,608.449504545455,22,602.899657575757,33,507.116894117647,34,558.891019512195,41,826.17626953125,64
"sdP14","co",1,"e",22,18,281.894709090909,573.252172222222,45,26,743.976351111111,579.207103846154,607.200386956522,23,NA,0,577.440672727273,33,605.406209090909,11,1264.70126488095,21
"sdP14","comp",1,"e",46,60,283.825086956522,1024.96385333333,69,71,735.023034782609,435.007715492958,551.2496625,32,582.241564285714,28,547.0452,27,537.841785714286,28,986.8203125,36
"sdP15","comp",2,"e",67,48,389.200947761194,1053.47627916667,99,82,728.713147474748,419.579947560976,899.419266666666,27,510.6297,37,583.634401818182,55,488.118168085106,47,1197.75274884259,54
"sdP15","solo",1,"e",91,24,345.386225274725,996.3659125,93,76,730.371603225806,264.660886842105,569.371482142857,28,550.783404081633,49,540.299796296296,54,514.108081132075,53,707.229132401316,76
"sdP15","solo",2,"e",83,35,382.221662650602,1076.05805428571,91,77,702.697093406593,253.553120779221,497.28684,35,573.114815789474,38,561.746171698113,53,556.53925,48,796.786931818182,77
"sdP15","co",1,"e",32,16,325.130428125,563.7031375,61,44,706.164242622951,330.511395454545,566.194022222222,27,NA,0,619.799856521739,46,484.108025,20,991.143901209677,31
"sdP15","co",2,"e",24,18,243.580104166667,725.303794444445,50,34,717.861916,394.992079411765,724.933088461538,26,NA,0,486.085072727273,22,469.111015384615,26,778.090553977273,22
"sdP15","comp",1,"e",64,47,307.779215625,1043.64093829787,94,89,726.001193617021,345.562559550562,776.093582608695,23,596.902802,50,487.835136585366,41,460.123838636364,44,776.579241071429,56
"sdP2","comp",2,"e",50,41,220.611406,1032.55750243902,90,91,479.269566666667,386.750385714286,472.077852173913,23,331.850121951219,41,422.7789875,40,355.278505555556,36,1072.59857954545,55
"sdP2","solo",1,"e",21,8,371.928957142857,843.6018,21,17,816.922376190476,353.692841176471,346.7976375,8,489.62176,10,1180.82865,6,567.2393,18,1200.056640625,16
"sdP2","co",1,"e",20,7,248.17318,465.191871428571,49,23,693.059614285714,392.452104347826,690.428673076923,26,NA,0,510.770752,25,455.720577777778,18,2243.64453125,16
"sdP2","co",2,"e",25,13,263.638968,656.6684,59,37,692.068533898305,414.788651351351,627.050458333333,24,NA,0,551.032452777778,36,522.359933333333,24,1270.39628232759,29
"sdP2","comp",1,"e",58,56,239.451986206897,967.216603571429,86,105,589.758932558139,479.695293333334,539.884465,20,416.397967391304,46,455.278965789474,38,433.8721725,40,1134.86369977679,56
